sample_name,cluster_label,class,donor,sex,age_days,cortical_layer
F1S4_160106_001_B01,Inh L4-6 SST B3GAT2,GABAergic,H200.1030,M,19710,L5
F1S4_160106_001_C01,Exc L5-6 RORB TTC12,Glutamatergic,H200.1030,M,19710,L5
F1S4_160106_001_E01,Exc L5-6 FEZF2 ABO,Glutamatergic,H200.1030,M,19710,L5
F1S4_160106_001_G01,Exc L5-6 FEZF2 EFTUD1P1,Glutamatergic,H200.1030,M,19710,L5
F1S4_160106_001_H01,Exc L3-5 RORB ESR1,Glutamatergic,H200.1030,M,19710,L5
F1S4_160106_002_C01,Exc L3-5 RORB ESR1,Glutamatergic,H200.1030,M,19710,L5
F1S4_160106_002_D01,Exc L4-5 RORB FOLH1B,Glutamatergic,H200.1030,M,19710,L5
F1S4_160106_002_F01,Exc L5-6 FEZF2 ABO,Glutamatergic,H200.1030,M,19710,L5
F1S4_160106_002_G01,Inh L1-4 LAMP5 LCP2,GABAergic,H200.1030,M,19710,L5
F1S4_160106_002_H01,Exc L4-5 RORB FOLH1B,Glutamatergic,H200.1030,M,19710,L5
F1S4_160106_003_A01,Oligo L1-6 OPALIN,Non-neuronal,H200.1030,M,19710,L5
F1S4_160106_003_B01,Exc L5-6 THEMIS C1QL3,Glutamatergic,H200.1030,M,19710,L5
F1S4_160106_003_C01,Inh L2-3 VIP CASC6,GABAergic,H200.1030,M,19710,L5
F1S4_160106_003_D01,Exc L5-6 THEMIS C1QL3,Glutamatergic,H200.1030,M,19710,L5
F1S4_160106_003_E01,Exc L4-6 RORB SEMA3E,Glutamatergic,H200.1030,M,19710,L5
F1S4_160106_003_G01,Exc L4-5 RORB FOLH1B,Glutamatergic,H200.1030,M,19710,L5
F1S4_160106_004_B01,Exc L5-6 THEMIS C1QL3,Glutamatergic,H200.1030,M,19710,L5
F1S4_160106_004_C01,Inh L4-6 PVALB SULF1,GABAergic,H200.1030,M,19710,L5
F1S4_160106_004_D01,Exc L4-5 RORB FOLH1B,Glutamatergic,H200.1030,M,19710,L5
F1S4_160106_004_E01,Exc L3-5 RORB ESR1,Glutamatergic,H200.1030,M,19710,L5
F1S4_160106_004_F01,Exc L4-5 RORB FOLH1B,Glutamatergic,H200.1030,M,19710,L5
F1S4_160106_004_G01,Exc L5-6 THEMIS C1QL3,Glutamatergic,H200.1030,M,19710,L5
F1S4_160106_004_H01,Exc L3-5 RORB ESR1,Glutamatergic,H200.1030,M,19710,L5
F1S4_160106_005_B01,Exc L4-5 RORB FOLH1B,Glutamatergic,H200.1030,M,19710,L5
F1S4_160106_005_C01,Exc L5-6 THEMIS C1QL3,Glutamatergic,H200.1030,M,19710,L5
F1S4_160106_005_D01,Exc L5-6 THEMIS CRABP1,Glutamatergic,H200.1030,M,19710,L5
F1S4_160106_005_E01,Exc L4-5 RORB FOLH1B,Glutamatergic,H200.1030,M,19710,L5
F1S4_160106_005_F01,Exc L5-6 THEMIS C1QL3,Glutamatergic,H200.1030,M,19710,L5
F1S4_160106_005_G01,Exc L3-5 RORB ESR1,Glutamatergic,H200.1030,M,19710,L5
F1S4_160106_005_H01,Exc L5-6 THEMIS C1QL3,Glutamatergic,H200.1030,M,19710,L5
F1S4_160106_006_B01,Exc L4-5 RORB FOLH1B,Glutamatergic,H200.1030,M,19710,L5
F1S4_160106_006_C01,Exc L4-6 FEZF2 IL26,Glutamatergic,H200.1030,M,19710,L5
