sample_name,cluster_label,class,subclass,donor_sex,region,cortical_layer,external_donor_name
LS-15005h_S01_E1-50,Outlier L1-3 SST OR2AD1P,Exclude,Exclude,M,MTG,L1,H200.1025
LS-15005h_S02_E1-50,Inh L2-5 VIP TOX2,GABAergic,VIP,M,MTG,L1,H200.1025
LS-15005h_S03_E1-50,Inh L1 LAMP5 GGT8P,GABAergic,LAMP5,M,MTG,L1,H200.1025
LS-15005h_S04_E1-50,Inh L1 LAMP5 NDNF,GABAergic,LAMP5,M,MTG,L1,H200.1025
LS-15005h_S05_E1-50,Inh L1-3 VIP ZNF322P1,GABAergic,VIP,M,MTG,L1,H200.1025
LS-15005h_S06_E1-50,Inh L3 VIP CBLN1,GABAergic,VIP,M,MTG,L1,H200.1025
LS-15005h_S07_E1-50,Inh L1-4 LAMP5 DUSP4,GABAergic,LAMP5,M,MTG,L1,H200.1025
LS-15005h_S10_E1-50,Exc L2-3 LINC00507 RPL9P17,Glutamatergic,IT,M,MTG,L1,H200.1025
LS-15005h_S11_E1-50,Exc L2-3 LINC00507 RPL9P17,Glutamatergic,IT,M,MTG,L1,H200.1025
LS-15005h_S14_E1-50,Inh L1 SST CXCL14,GABAergic,VIP,M,MTG,L1,H200.1025
LS-15005h_S15_E1-50,Outlier L1-3 SST OR2AD1P,Exclude,Exclude,M,MTG,L1,H200.1025
LS-15005h_S17_E1-50,Inh L1 PAX6 GRIP2,GABAergic,PAX6,M,MTG,L1,H200.1025
LS-15005h_S18_E1-50,Inh L1 LAMP5 NDNF,GABAergic,LAMP5,M,MTG,L1,H200.1025
LS-15005h_S19_E1-50,Inh L1 LAMP5 NDNF,GABAergic,LAMP5,M,MTG,L1,H200.1025
LS-15005h_S20_E1-50,Exc L2-3 LINC00507 RPL9P17,Glutamatergic,IT,M,MTG,L1,H200.1025
LS-15005h_S22_E1-50,Inh L1 LAMP5 NDNF,GABAergic,LAMP5,M,MTG,L1,H200.1025
LS-15005h_S23_E1-50,Inh L1-2 VIP PPAPDC1A,GABAergic,VIP,M,MTG,L1,H200.1025
LS-15005h_S24_E1-50,Oligo L4-6 OPALIN,Non-neuronal,Oligodendrocyte,M,MTG,L1,H200.1025
LS-15005h_S25_E1-50,Exc L2-3 LINC00507 RPL9P17,Glutamatergic,IT,M,MTG,L1,H200.1025
LS-15005h_S26_E1-50,Inh L1 PAX6 CA4,GABAergic,PAX6,M,MTG,L1,H200.1025
LS-15005h_S27_E1-50,Inh L1 ADARB2 ADAM33,GABAergic,VIP,M,MTG,L1,H200.1025
LS-15005h_S28_E1-50,Inh L1-4 VIP CHRNA2,GABAergic,VIP,M,MTG,L1,H200.1025
LS-15005h_S29_E1-50,Exc L2-3 LINC00507 RPL9P17,Glutamatergic,IT,M,MTG,L1,H200.1025
LS-15005h_S30_E1-50,Exc L2-3 LINC00507 RPL9P17,Glutamatergic,IT,M,MTG,L1,H200.1025
LS-15005h_S31_E1-50,Outlier L1-3 SST OR2AD1P,Exclude,Exclude,M,MTG,L1,H200.1025
LS-15005h_S32_E1-50,Astro L1-6 FGFR3 ETNPPL,Non-neuronal,Astrocyte,M,MTG,L1,H200.1025
LS-15005h_S33_E1-50,Inh L2-6 VIP VIP,GABAergic,VIP,M,MTG,L5,H200.1025
LS-15005h_S34_E1-50,Inh L1-6 LAMP5 CA13,GABAergic,LAMP5,M,MTG,L5,H200.1025
LS-15005h_S35_E1-50,Exc L5-6 THEMIS GPR21,Glutamatergic,L5/6 IT Car3,M,MTG,L5,H200.1025
LS-15005h_S36_E1-50,Inh L2-5 VIP TOX2,GABAergic,VIP,M,MTG,L5,H200.1025
LS-15005h_S37_E1-50,Exc L5-6 FEZF2 MYBPHL,Glutamatergic,L5/6 NP,M,MTG,L5,H200.1025
LS-15005h_S38_E1-50,Exc L4-5 RORB RPL31P31,Glutamatergic,IT,M,MTG,L5,H200.1025
LS-15005h_S41_E1-50,Exc L4-5 RORB LCN15,Glutamatergic,IT,M,MTG,L5,H200.1025
LS-15005h_S42_E1-50,Inh L4-6 SST MTHFD2P6,GABAergic,SST,M,MTG,L5,H200.1025
LS-15005h_S44_E1-50,Exc L5-6 THEMIS GPR21,Glutamatergic,L5/6 IT Car3,M,MTG,L5,H200.1025
LS-15005h_S45_E1-50,Exc L6 THEMIS LINC00343,Glutamatergic,IT,M,MTG,L5,H200.1025
LS-15005h_S46_E1-50,Exc L6 FEZF2 FAM95C,Glutamatergic,L6 CT,M,MTG,L5,H200.1025
LS-15005h_S47_E1-50,Exc L4-5 RORB LINC01474,Glutamatergic,IT,M,MTG,L5,H200.1025
LS-15005h_S48_E1-50,OPC L1-6 MYT1,Non-neuronal,OPC,M,MTG,L5,H200.1025
LS-15005h_S50_E1-50,Inh L5-6 PVALB FAM150B,GABAergic,PVALB,M,MTG,L5,H200.1025
LS-15005h_S51_E1-50,Exc L6 FEZF2 KRT17,Glutamatergic,L6b,M,MTG,L5,H200.1025
LS-15005h_S52_E1-50,Exc L4-5 RORB LINC01474,Glutamatergic,IT,M,MTG,L5,H200.1025
LS-15005h_S54_E1-50,Inh L5 PVALB CNTNAP3P2,GABAergic,PVALB,M,MTG,L5,H200.1025
LS-15005h_S55_E1-50,Exc L6 THEMIS LINC00343,Glutamatergic,IT,M,MTG,L5,H200.1025
LS-15005h_S59_E1-50,Inh L5 PVALB CNTNAP3P2,GABAergic,PVALB,M,MTG,L5,H200.1025
LS-15005h_S60_E1-50,Exc L4-5 RORB LCN15,Glutamatergic,IT,M,MTG,L5,H200.1025
LS-15005h_S61_E1-50,Inh L5-6 LAMP5 SFTA3,GABAergic,LAMP5,M,MTG,L5,H200.1025
LS-15005h_S62_E1-50,Exc L5-6 FEZF2 MYBPHL,Glutamatergic,L5/6 NP,M,MTG,L5,H200.1025
LS-15005h_S81_E1-50,Exc L5-6 FEZF2 MYBPHL,Glutamatergic,L5/6 NP,M,MTG,L5,H200.1025
LS-15005h_S82_E1-50,Exc L5 RORB SNHG7,Glutamatergic,IT,M,MTG,L5,H200.1025
LS-15005h_S83_E1-50,Inh L2-5 VIP TOX2,GABAergic,VIP,M,MTG,L5,H200.1025
LS-15005h_S84_E1-50,Inh L4-6 SST MTHFD2P6,GABAergic,SST,M,MTG,L5,H200.1025
LS-15005h_S85_E1-50,Exc L5-6 FEZF2 MYBPHL,Glutamatergic,L5/6 NP,M,MTG,L5,H200.1025
LS-15005h_S86_E1-50,Exc L3-4 RORB SEMA6D,Glutamatergic,IT,M,MTG,L5,H200.1025
LS-15005h_S88_E1-50,Oligo L4-6 OPALIN,Non-neuronal,Oligodendrocyte,M,MTG,L5,H200.1025
LS-15028_S01_E1-50,Inh L1-5 VIP KCNJ2,GABAergic,VIP,M,MTG,L1,H200.1025
LS-15028_S02_E1-50,Exc L2-3 LINC00507 RPL9P17,Glutamatergic,IT,M,MTG,L1,H200.1025
LS-15028_S03_E1-50,Inh L1 SST CXCL14,GABAergic,VIP,M,MTG,L1,H200.1025
LS-15028_S04_E1-50,Inh L1 LAMP5 NDNF,GABAergic,LAMP5,M,MTG,L1,H200.1025
LS-15028_S05_E1-50,Inh L1 ADARB2 ADAM33,GABAergic,VIP,M,MTG,L1,H200.1025
LS-15028_S06_E1-50,Inh L1-3 VIP SSTR1,GABAergic,VIP,M,MTG,L1,H200.1025
LS-15028_S07_E1-50,Inh L3 VIP CBLN1,GABAergic,VIP,M,MTG,L1,H200.1025
LS-15028_S33_E1-50,Exc L2-3 LINC00507 RPL9P17,Glutamatergic,IT,M,MTG,L1,H200.1025
LS-15028_S34_E1-50,Inh L1 ADARB2 ADAM33,GABAergic,VIP,M,MTG,L1,H200.1025
LS-15028_S35_E1-50,Inh L1-3 PVALB WFDC2,GABAergic,PVALB,M,MTG,L1,H200.1025
LS-15028_S37_E1-50,Outlier L1-3 SST OR2AD1P,Exclude,Exclude,M,MTG,L1,H200.1025
LS-15028_S38_E1-50,Exc L2-3 LINC00507 RPL9P17,Glutamatergic,IT,M,MTG,L1,H200.1025
LS-15028_S39_E1-50,Inh L1-2 VIP PPAPDC1A,GABAergic,VIP,M,MTG,L1,H200.1025
LS-15028_S40_E1-50,Astro L1 FGFR3 MT1G,Non-neuronal,Astrocyte,M,MTG,L1,H200.1025
LS-15028_S42_E1-50,Exc L2-3 LINC00507 RPL9P17,Glutamatergic,IT,M,MTG,L1,H200.1025
LS-15028_S43_E1-50,Exc L2-3 LINC00507 RPL9P17,Glutamatergic,IT,M,MTG,L1,H200.1025
LS-15028_S44_E1-50,Exc L2-3 LINC00507 RPL9P17,Glutamatergic,IT,M,MTG,L1,H200.1025
LS-15028_S45_E1-50,Inh L1 PAX6 GRIP2,GABAergic,PAX6,M,MTG,L1,H200.1025
LS-15028_S46_E1-50,Inh L1 VIP PRSS8,GABAergic,VIP,M,MTG,L1,H200.1025
LS-15028_S47_E1-50,Inh L1 ADARB2 ADAM33,GABAergic,VIP,M,MTG,L1,H200.1025
LS-15028_S48_E1-50,Astro L1 FGFR3 MT1G,Non-neuronal,Astrocyte,M,MTG,L1,H200.1025
LS-15028_S49_E1-50,Exc L3-4 RORB PRSS12,Glutamatergic,IT,M,MTG,L1,H200.1025
LS-15028_S50_E1-50,Inh L1 ADARB2 ADAM33,GABAergic,VIP,M,MTG,L1,H200.1025
LS-15028_S51_E1-50,Inh L1-3 VIP SSTR1,GABAergic,VIP,M,MTG,L1,H200.1025
